DPM,Sep 03,Sep 18,Oct 02,Oct 21,Oct 31,Dec 11,Dec 13,
,Assignment 1,Assignment 2,Midsem,Assignment 3,Assignment 4,Endsem Exam,Project,Total(Scaled)
,100,100,40,100,100,100,100,100
,,,,,,,,
Class average,74.2,83.64,25.6,87.0,75.84,79.2,73.14,75.09
Student 1,100,100,38,100,100,100,85,94
Student 2,100,100,30,100,100,100,87.5,91.875
Student 3,100,100,34,100,92,100,81.5,90.675
Student 4,100,90,31,100,100,100,85,90.625
Student 5,100,90,31,100,96,100,83.5,89.8
Student 6,100,60,35,90,84,100,87.5,88.8
Student 7,100,55,36,100,100,90,83,87.175
Student 8,100,92.5,30,100,88,100,74,85.6875
Student 9,100,80,30,90,70,85,85,83.5
Student 10,51,95,23,100,96,100,81.5,82.8
Student 11,85,100,21,100,96,100,74.5,82.525
Student 12,30,100,38,100,92,85,72.5,80.775
Student 13,100,100,19,100,96,80,76,79.425
Student 14,34,100,20,100,84,100,74.5,77.425
Student 15,85,90,18,100,100,85,72.5,77.25
Student 16,100,70,14.5,100,100,80,76,75.7875
Student 17,85,90,19,80,96,30,86,69.55
Student 18,100,100,21.5,100,100,90,37.5,69.1875
Student 19,0,100,30.5,80,0,70,86,69.0375
Student 20,85,100,30,80,32,30,80.5,67.7
Student 21,100,95,33,55,32,90,37.5,64.65
Student 22,100,100,33.5,100,100,100,64,84.9625
Student 23,0,57.5,17,40,0,50,74,49.5875
Student 24,0,26,7,60,42,15,83.5,44.45
Student 25,0,0,0,0,0,0,0,0
